,GRAPH_IDX,NUM_NODES,NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,CHROMATIC_NUM,NORM_MIS,SPECTRAL_GAP,LOG_LARGESTEIGVAL,GIRTH,KEMENY_CONSTANT,TRANSITIVITY,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GRAPH_ASSORTATIVITY
0,graph_954.pickle,100,300,1,1.0986122886681098,0.06060606060606061,5,0.28,0.018671806365988752,(0.5420495746049122+0j),3,120.4233911,0.048,(0.5311315047806764+0j),(-1.2409847996359098+0j),4,4,0.0,
1,graph_3556.pickle,100,494,1,1.5973653311998313,0.0997979797979798,7,0.37,0.02308348561580864,(0.43553388306113144+0j),3,108.24317092,0.18541996830427893,(0.4204881110215249+0j),(-0.8494254296347632+0j),3,5,0.5108256237659907,-0.11623519
2,graph_257.pickle,100,100,1,0.0,0.020202020202020204,3,0.52,0.0012351866864646066,(0.6926305262870951+0j),31,956.09241935,0.0,(0.6920124227925682+0j),(-5.549885789850317+0j),16,30,0.6286086594223741,-0.16582915
3,graph_2108.pickle,100,347,1,1.244154593958768,0.0701010101010101,7,0.41,0.02324825515053419,(0.5610536486287419+0j),3,116.26754339,0.17165814463111762,(0.5476992448117529+0j),(-1.3789550052182014+0j),3,6,0.6931471805599453,-0.14846024
4,graph_2642.pickle,100,214,1,0.7608058290337602,0.04323232323232323,6,0.64,0.06337665067941911,(0.5903678361957796+0j),3,122.49599693,0.14652956298200515,(0.5546178671175808+0j),(-1.6012599715513114+0j),4,6,0.4054651081081644,-0.18984089
5,graph_4569.pickle,100,123,1,0.20701416938432612,0.02484848484848485,3,0.47,0.010952145144548231,(0.6843025038874528+0j),3,326.95638559,0.01485148514851485,(0.6787624646817902+0j),(-3.825587720371972+0j),9,15,0.5108256237659907,0.22355884
6,graph_2444.pickle,100,99,1,-0.01005033585350145,0.02,3,0.56,0.023030453023510367,(0.6931471805599431+0j),inf,314.0959596,0.0,(0.6815651404160665+0j),(-3.7709378943262415+0j),5,9,0.5877866649021191,-0.20436726
7,graph_5748.pickle,100,455,1,1.5151272329628591,0.09191919191919191,6,0.22,0.012386994898518466,(0.3917419770593051+0j),3,116.58504916,0.2652367250850118,(0.3833346308309889+0j),(-1.4487010759982208+0j),3,4,0.28768207245178085,0.07154739
8,graph_5391.pickle,100,300,1,1.0986122886681098,0.06060606060606061,5,0.33,0.0369114591475701,(0.5360671681705423+0j),3,120.68742216,0.07855361596009976,(0.5142357367945232+0j),(-1.2607166067341442+0j),4,4,0.0,-0.13885066
9,graph_632.pickle,100,100,0,0.0,0.020202020202020204,3,0.53,0.00407211286644138,(0.6931471805599497+0j),4,0.0,0.0,(0.691109048546018+0j),(-36.11817113378587-0.4521585367755481j),0,0,0.0,-0.16322009
10,graph_2885.pickle,100,300,1,1.0986122886681098,0.06060606060606061,6,0.29,0.016798635756264835,(0.5358227191951522+0j),3,120.64141121,0.05,(0.5259437281260405+0j),(-1.231565308110149+0j),4,4,0.0,
